Time,Level,Category,Message,Raw Data
"Jan 05, 12:51:26.315","INFO","system","New turn started","{""category"":""system"",""callId"":""019b8d08-3b0f-7883-b3fb-4d2974f85082"",""orgId"":""dd220687-e8ce-4b26-9b2c-16051b9f47a6"",""turnStartTime"":""2026-01-05T07:21:26.315Z""}"
"Jan 05, 12:51:26.331","INFO","system","Transcriber WebSocket status changed","{""category"":""system"",""callId"":""019b8d08-3b0f-7883-b3fb-4d2974f85082"",""orgId"":""dd220687-e8ce-4b26-9b2c-16051b9f47a6"",""provider"":""deepgram"",""status"":""opening""}"
"Jan 05, 12:51:26.331","INFO","transcriber","Deepgram Flux WebSocket request","{""category"":""transcriber"",""callId"":""019b8d08-3b0f-7883-b3fb-4d2974f85082"",""orgId"":""dd220687-e8ce-4b26-9b2c-16051b9f47a6"",""provider"":""deepgram"",""model"":""flux-general-en"",""request"":{""url"":""wss://api.deepgram.com/v2/listen?model=flux-general-en&sample_rate=44100&encoding=linear16"",""config"":{""model"":""flux-general-en"",""sample_rate"":""44100"",""encoding"":""linear16""},""keyterm"":[]}}"
"Jan 05, 12:51:26.332","INFO","system","Transcriber WebSocket status changed","{""category"":""system"",""callId"":""019b8d08-3b0f-7883-b3fb-4d2974f85082"",""orgId"":""dd220687-e8ce-4b26-9b2c-16051b9f47a6"",""provider"":""deepgram"",""status"":""opening""}"
"Jan 05, 12:51:26.332","INFO","transcriber","Deepgram Flux WebSocket request","{""category"":""transcriber"",""callId"":""019b8d08-3b0f-7883-b3fb-4d2974f85082"",""orgId"":""dd220687-e8ce-4b26-9b2c-16051b9f47a6"",""provider"":""deepgram"",""model"":""flux-general-en"",""request"":{""url"":""wss://api.deepgram.com/v2/listen?model=flux-general-en&sample_rate=44100&encoding=linear16"",""config"":{""model"":""flux-general-en"",""sample_rate"":""44100"",""encoding"":""linear16""},""keyterm"":[]}}"
"Jan 05, 12:51:26.334","INFO","voice","ElevenLabs WebSocket connecting","{""category"":""voice"",""callId"":""019b8d08-3b0f-7883-b3fb-4d2974f85082"",""orgId"":""dd220687-e8ce-4b26-9b2c-16051b9f47a6"",""provider"":""elevenlabs"",""voiceId"":""dN8hviqdNrAsEcL57yFj"",""model"":""eleven_turbo_v2_5"",""sampleRate"":44100,""optimizeStreamingLatency"":3,""enableSsmlParsing"":true,""websocketIndex"":0}"
"Jan 05, 12:51:26.335","INFO","voice","ElevenLabs WebSocket connecting","{""category"":""voice"",""callId"":""019b8d08-3b0f-7883-b3fb-4d2974f85082"",""orgId"":""dd220687-e8ce-4b26-9b2c-16051b9f47a6"",""provider"":""elevenlabs"",""voiceId"":""dN8hviqdNrAsEcL57yFj"",""model"":""eleven_turbo_v2_5"",""sampleRate"":44100,""optimizeStreamingLatency"":3,""enableSsmlParsing"":true,""websocketIndex"":1}"
"Jan 05, 12:51:26.409","INFO","transcriber","Deepgram Flux WebSocket connected","{""category"":""transcriber"",""callId"":""019b8d08-3b0f-7883-b3fb-4d2974f85082"",""orgId"":""dd220687-e8ce-4b26-9b2c-16051b9f47a6"",""provider"":""deepgram"",""model"":""flux-general-en""}"
"Jan 05, 12:51:26.409","INFO","transcriber","Deepgram Flux WebSocket connected","{""category"":""transcriber"",""callId"":""019b8d08-3b0f-7883-b3fb-4d2974f85082"",""orgId"":""dd220687-e8ce-4b26-9b2c-16051b9f47a6"",""provider"":""deepgram"",""model"":""flux-general-en""}"
"Jan 05, 12:51:26.445","INFO","voice","ElevenLabs WebSocket upgrade with trace ID","{""category"":""voice"",""callId"":""019b8d08-3b0f-7883-b3fb-4d2974f85082"",""orgId"":""dd220687-e8ce-4b26-9b2c-16051b9f47a6"",""provider"":""elevenlabs"",""voiceId"":""dN8hviqdNrAsEcL57yFj"",""traceId"":""c71a874dfbf1eb4383666b86a23d5747"",""websocketIndex"":0}"
